id,alias,name,image_url,is_closed,url,review_count,categories_0_alias,categories/0/title,rating,coordinates_latitude,coordinates/longitude,transactions/0,price,location/address1,location/address2,location/address3,location/city,location/zip_code,location/country,location/state,location/display_address/0,location/display_address/1,location/display_address/2,phone,display_phone,distance,categories/1/alias,categories/1/title,categories/2/alias,categories/2/title,transactions/1,WiFi,Credit Card,Noise Level,Include?
E8RJkjfdcwgtyoPMjQ_Olg,four-barrel-coffee-san-francisco,Four Barrel Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/NBm7cKsFwecEm82oP_-qUg/o.jpg,FALSE,https://www.yelp.com/biz/four-barrel-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2089,coffee,Coffee & Tea,,,4,37.76702,-122.422,delivery,$,375 Valencia St,,,San Francisco,94103,US,CA,375 Valencia St,"San Francisco, CA 94103",1.42E+10,(415) 896-4289,1452.87,,,,,Yes,No,Yes,Average
sSiUcnbwPQ4ssHY3EMV0Fw,matcha-cafe-maiko-san-francisco-10,Matcha Cafe Maiko,https://s3-media2.fl.yelpcdn.com/bphoto/OggJgIXun4eqnSwCx4ZgHw/o.jpg,FALSE,https://www.yelp.com/biz/matcha-cafe-maiko-san-francisco-10?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,916,coffee,Coffee & Tea,icecream,Ice Cream & Frozen Yogurt,4.5,37.78505,-122.432,delivery,$,1581 Webster St,,,San Francisco,94115,US,CA,1581 Webster St,"San Francisco, CA 94115",1.42E+10,(415) 757-0919,2712.64,shavedice,Shaved Ice,,,No,,,
VzlVF1yc_BboRwwqJcvkxg,mymy-san-francisco-3,Mymy,https://s3-media3.fl.yelpcdn.com/bphoto/yU_nI0inYflkj7RX2zd7WQ/o.jpg,FALSE,https://www.yelp.com/biz/mymy-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1746,breakfast_brunch,Breakfast & Brunch,newamerican,American (New),4,37.79094,-122.419,delivery,$$,1500 California St,,,San Francisco,94109,US,CA,1500 California St,"San Francisco, CA 94109",1.42E+10,(415) 800-7466,3665.699,coffee,Coffee & Tea,,,No,,,
TfvirefqknwFZGCGYvHFgw,chantal-guillon-macarons-san-francisco-2,Chantal Guillon Macarons,https://s3-media1.fl.yelpcdn.com/bphoto/1n0R1NbPoeIkY4NEfdeSyA/o.jpg,FALSE,https://www.yelp.com/biz/chantal-guillon-macarons-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1018,desserts,Desserts,coffee,Coffee & Tea,4.5,37.77667,-122.424,delivery,$$,437 Hayes St,Ste A,,San Francisco,94102,US,CA,437 Hayes St,Ste A,1.42E+10,(415) 864-2400,2085.027,macarons,Macarons,pickup,"San Francisco, CA 94102",No,,,
VD527WwvrhE3Nhzf5vaMNw,sightglass-coffee-san-francisco-7,Sightglass Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/4psh1vVupE7Iur4UGTL0SA/o.jpg,FALSE,https://www.yelp.com/biz/sightglass-coffee-san-francisco-7?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1840,coffeeroasteries,Coffee Roasteries,,,4,37.77696,-122.409,delivery,$$,270 Seventh St,,,San Francisco,94103,US,CA,270 Seventh St,"San Francisco, CA 94103",1.42E+10,(415) 861-1313,3046.782,,,,,Yes,No,Yes,Average
WhTpALYvB4ZBMcT8fFVLvw,holy-gelato-san-francisco,Holy Gelato!,https://s3-media1.fl.yelpcdn.com/bphoto/E_E2UC2gQDI-zJjI5fWRog/o.jpg,FALSE,https://www.yelp.com/biz/holy-gelato-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1048,icecream,Ice Cream & Frozen Yogurt,gelato,Gelato,4.5,37.76242,-122.466,delivery,$,1392 9th Ave,,,San Francisco,94122,US,CA,1392 9th Ave,"San Francisco, CA 94122",1.42E+10,(415) 681-3061,2599.848,coffee,Coffee & Tea,,,No,,,
IoPgRTk7Cs3ydeM5R2NRZA,andytown-coffee-roasters-san-francisco,Andytown Coffee Roasters,https://s3-media4.fl.yelpcdn.com/bphoto/h4sEWLMqswechk6L-LKgFw/o.jpg,FALSE,https://www.yelp.com/biz/andytown-coffee-roasters-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,828,coffee,Coffee & Tea,,,4.5,37.75681,-122.502,delivery,$,3655 Lawton St,,,San Francisco,94122,US,CA,3655 Lawton St,"San Francisco, CA 94122",1.42E+10,(415) 753-9775,5805.513,,,,,No,,,
vJaF4HdnmSVF_V0BjeKjtg,blue-bottle-coffee-san-francisco-10,Blue Bottle Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/Mrk3g0YcMN25gakI3PaLiQ/o.jpg,FALSE,https://www.yelp.com/biz/blue-bottle-coffee-san-francisco-10?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1517,coffee,Coffee & Tea,,,4,37.79604,-122.394,delivery,$,1 Ferry Building,Ste 7,,San Francisco,94111,US,CA,1 Ferry Building,Ste 7,1.51E+10,(510) 653-3394,5414.254,,,,"San Francisco, CA 94111",No,,,
TcbKvh-e1lxywJuN6in5JQ,farm-table-san-francisco,Farm : Table,https://s3-media3.fl.yelpcdn.com/bphoto/SdBbyNaFbyo-Eht2K24FKQ/o.jpg,FALSE,https://www.yelp.com/biz/farm-table-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1779,coffee,Coffee & Tea,breakfast_brunch,Breakfast & Brunch,4,37.78768,-122.414,,$$,754 Post St,,,San Francisco,94109,US,CA,754 Post St,"San Francisco, CA 94109",1.42E+10,(415) 300-5652,3564.116,,,,,No,,,
qkHlhvv6DrCkvY54ogcPiA,xox-truffles-san-francisco,XOX Truffles,https://s3-media4.fl.yelpcdn.com/bphoto/YC1OatOZvEIKFkml_VfWgQ/o.jpg,FALSE,https://www.yelp.com/biz/xox-truffles-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,630,chocolate,Chocolatiers & Shops,coffee,Coffee & Tea,4.5,37.80175,-122.412,delivery,$,754 Columbus Ave,,,San Francisco,94133,US,CA,754 Columbus Ave,"San Francisco, CA 94133",1.42E+10,(415) 421-4814,5024.775,,,pickup,,No,,,
I0UVBT1-k0LqUICRLr9l5A,dynamo-donut-and-coffee-san-francisco-4,Dynamo Donut & Coffee,https://s3-media1.fl.yelpcdn.com/bphoto/Rv_4ShGRhQzJwIll6HoXUQ/o.jpg,FALSE,https://www.yelp.com/biz/dynamo-donut-and-coffee-san-francisco-4?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1865,coffee,Coffee & Tea,donuts,Donuts,4,37.75297,-122.408,delivery,$,2760 24th St,,,San Francisco,94110,US,CA,2760 24th St,"San Francisco, CA 94110",1.42E+10,(415) 920-1978,2678.575,cakeshop,Patisserie/Cake Shop,,,Yes,No,Yes,Average
lvoKIKQ8zD4ZvcbUmImrQg,taylor-street-coffee-shop-san-francisco,Taylor Street Coffee Shop,https://s3-media2.fl.yelpcdn.com/bphoto/YGz3mrOD7UwAT4egg5QeJA/o.jpg,FALSE,https://www.yelp.com/biz/taylor-street-coffee-shop-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1181,burgers,Burgers,sandwiches,Sandwiches,4,37.78568,-122.411,delivery,$$,375 Taylor St,,,San Francisco,94102,US,CA,375 Taylor St,"San Francisco, CA 94102",1.42E+10,(415) 567-4031,3522.409,coffee,Coffee & Tea,pickup,,No,,,
U9HWtltvf_U2y1wYSOwFUA,fresh-brew-coffee-san-francisco,Fresh Brew Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/SlLWGAvf2uyQ94KFUh4k_Q/o.jpg,FALSE,https://www.yelp.com/biz/fresh-brew-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,576,coffee,Coffee & Tea,sandwiches,Sandwiches,4.5,37.79001,-122.412,delivery,$,882 Bush St,,,San Francisco,94108,US,CA,882 Bush St,"San Francisco, CA 94108",1.42E+10,(415) 567-0915,3883.512,vietnamese,Vietnamese,,,No,,,
Bsz2u4raa8xNolhl3PDV2Q,home-coffee-roasters-san-francisco-2,Home Coffee Roasters,https://s3-media3.fl.yelpcdn.com/bphoto/93UR51I17CIo4KL_euuv-Q/o.jpg,FALSE,https://www.yelp.com/biz/home-coffee-roasters-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,606,coffee,Coffee & Tea,,,4.5,37.78232,-122.481,delivery,$$,2018 Clement St,,,San Francisco,94121,US,CA,2018 Clement St,"San Francisco, CA 94121",1.42E+10,(415) 702-9244,4583.104,,,pickup,,Yes,Yes,Yes,Average
Av-PbVkajf1XrgqIS8POSQ,stella-pastry-and-cafe-san-francisco,Stella Pastry & Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/vEpKKec_SjFXWU6TOEp66Q/o.jpg,FALSE,https://www.yelp.com/biz/stella-pastry-and-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1312,bakeries,Bakeries,coffee,Coffee & Tea,4,37.79918,-122.408,,$,446 Columbus Ave,,,San Francisco,94133,US,CA,446 Columbus Ave,"San Francisco, CA 94133",1.42E+10,(415) 986-2914,4920.003,,,,,No,,,
F4YgPOvuCClXTwB9PJk8Qg,black-sugar-san-francisco,Black Sugar,https://s3-media3.fl.yelpcdn.com/bphoto/SvurG2NbWLjnay-RiTbgfQ/o.jpg,FALSE,https://www.yelp.com/biz/black-sugar-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,724,tea,Tea Rooms,bubbletea,Bubble Tea,4.5,37.78642,-122.41,delivery,,320 O'Farrell St,,,San Francisco,94102,US,CA,320 O'Farrell St,"San Francisco, CA 94102",1.42E+10,(415) 521-2022,3645.799,coffee,Coffee & Tea,,,No,,,
VOoHZDC-dgDUzTSsmgESOQ,ritual-coffee-roasters-san-francisco,Ritual Coffee Roasters,https://s3-media1.fl.yelpcdn.com/bphoto/US3QFxMJGdl7XwIk4I12GQ/o.jpg,FALSE,https://www.yelp.com/biz/ritual-coffee-roasters-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1905,coffee,Coffee & Tea,coffeeroasteries,Coffee Roasteries,3.5,37.75642,-122.421,delivery,$$,1026 Valencia St,,,San Francisco,94110,US,CA,1026 Valencia St,"San Francisco, CA 94110",1.42E+10,(415) 641-1011,1413.019,,,,,Yes,No,Yes,Average
t_89aTecX2_eFBUto_dCPw,crossroads-cafe-san-francisco-7,Crossroads Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/SGEtp3pB5duaCJYs3P3LTQ/o.jpg,FALSE,https://www.yelp.com/biz/crossroads-cafe-san-francisco-7?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,985,coffee,Coffee & Tea,sandwiches,Sandwiches,4,37.78313,-122.389,delivery,$,699 Delancey St,,,San Francisco,94107,US,CA,699 Delancey St,"San Francisco, CA 94107",1.42E+10,(415) 512-5111,4849.351,,,,,Yes,Yes,Yes,Quiet
eOCVoXsOEnbr9c89RD0UEQ,pork-store-cafe-san-francisco,Pork Store Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/m95K9mcamqKoV4MiYQM_LQ/o.jpg,FALSE,https://www.yelp.com/biz/pork-store-cafe-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1357,breakfast_brunch,Breakfast & Brunch,coffee,Coffee & Tea,4,37.76997,-122.446,delivery,$$,1451 Haight St,,,San Francisco,94117,US,CA,1451 Haight St,"San Francisco, CA 94117",1.42E+10,(415) 864-6981,1320.191,comfortfood,Comfort Food,,,No,,,
4qC4rdMhPBV-BDI-ET2ijg,vive-la-tarte-san-francisco,Vive La Tarte,https://s3-media2.fl.yelpcdn.com/bphoto/K4ckJStgGOruXye9xtsfiA/o.jpg,FALSE,https://www.yelp.com/biz/vive-la-tarte-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,578,bakeries,Bakeries,breakfast_brunch,Breakfast & Brunch,4.5,37.77698,-122.411,delivery,$$,1160 Howard St,,,San Francisco,94103,US,CA,1160 Howard St,"San Francisco, CA 94103",1.42E+10,(415) 634-5444,2870.063,coffee,Coffee & Tea,,,Yes,No,Yes,Average
Id2aVe9l5YQlHtlXnGye-Q,wooly-pig-san-francisco-2,Wooly Pig,https://s3-media1.fl.yelpcdn.com/bphoto/MubiKnOtDnXDTwuulb_3Pw/o.jpg,FALSE,https://www.yelp.com/biz/wooly-pig-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,656,sandwiches,Sandwiches,coffee,Coffee & Tea,4.5,37.76066,-122.388,delivery,$$,2295 3rd St,,,San Francisco,94107,US,CA,2295 3rd St,"San Francisco, CA 94107",1.42E+10,(415) 592-8015,4225.848,breakfast_brunch,Breakfast & Brunch,,,Yes,Yes,Yes,Average
i2VhtC1JkV_sZOA4urd1ng,piccino-san-francisco,Piccino,https://s3-media3.fl.yelpcdn.com/bphoto/Vvo-defUrZmH4hs7vrsfUw/o.jpg,FALSE,https://www.yelp.com/biz/piccino-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1411,italian,Italian,pizza,Pizza,4,37.75762,-122.39,delivery,$$,1001 Minnesota St,,,San Francisco,94107,US,CA,1001 Minnesota St,"San Francisco, CA 94107",1.42E+10,(415) 824-4224,4106.661,coffee,Coffee & Tea,,,No,,,
tQE4SPlX9ZlFSbF4JPU4pg,la-boulangerie-de-san-francisco-pine-san-francisco,"La Boulangerie de San Francisco, Pine",https://s3-media2.fl.yelpcdn.com/bphoto/anwKDUJpTB8SemSWc57Mlw/o.jpg,FALSE,https://www.yelp.com/biz/la-boulangerie-de-san-francisco-pine-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,760,bakeries,Bakeries,coffee,Coffee & Tea,4.5,37.78762,-122.434,pickup,$,2325 Pine St,,,San Francisco,94115,US,CA,2325 Pine St,"San Francisco, CA 94115",1.42E+10,(415) 440-0356,2987.401,breakfast_brunch,Breakfast & Brunch,,,Yes,Yes,Yes,Average
O0iAR6OBHXqFtK4nKO9g2Q,beanstalk-cafe-san-francisco-2,Beanstalk Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/VWhu6wW9LKlXhsv0abS-uQ/o.jpg,FALSE,https://www.yelp.com/biz/beanstalk-cafe-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,840,coffee,Coffee & Tea,cafes,Cafes,4,37.79015,-122.409,delivery,$,724 Bush St,,,San Francisco,94108,US,CA,724 Bush St,"San Francisco, CA 94108",1.42E+10,(415) 576-1966,4034.579,,,pickup,,Yes,Yes,Yes,Average
asOdajhfMCSx_x60j4D42w,mazarine-coffee-san-francisco-2,Mazarine Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/Noj3tkhC8bdfEMqG1LvdTQ/o.jpg,FALSE,https://www.yelp.com/biz/mazarine-coffee-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,807,coffee,Coffee & Tea,sandwiches,Sandwiches,4,37.78758,-122.404,delivery,$$,720 Market St,,,San Francisco,94102,US,CA,720 Market St,"San Francisco, CA 94102",,,4111.721,breakfast_brunch,Breakfast & Brunch,,,Yes,No,Yes,Average
KRDQab-AjHP66pcbkbc5qQ,coffeeshop-san-francisco,CoffeeShop,https://s3-media1.fl.yelpcdn.com/bphoto/LBue5JmQTY8E0gjPFR65CQ/o.jpg,FALSE,https://www.yelp.com/biz/coffeeshop-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,351,coffee,Coffee & Tea,,,4.5,37.747,-122.419,delivery,$$,3139 Mission St,,,San Francisco,94110,US,CA,3139 Mission St,"San Francisco, CA 94110",1.42E+10,(415) 368-3802,2193.832,,,,,No,,,
AsmIi9jXkb9ACliVB4Fp9w,saint-frank-coffee-san-francisco-2,Saint Frank Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/f8bdHadms0A3bgyjaqDHhQ/o.jpg,FALSE,https://www.yelp.com/biz/saint-frank-coffee-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,675,coffee,Coffee & Tea,sandwiches,Sandwiches,4.5,37.79847,-122.422,delivery,$,2340 Polk St,,,San Francisco,94109,US,CA,2340 Polk St,"San Francisco, CA 94109",1.42E+10,(415) 881-8062,4365.996,breakfast_brunch,Breakfast & Brunch,,,Yes,Yes,Yes,Average
x29tzG5M7VbZhpG1jcREKQ,cafe-de-casa-san-francisco-3,Cafe de Casa,https://s3-media3.fl.yelpcdn.com/bphoto/Y2Nf-w5BfjvsI5xJfi8XIA/o.jpg,FALSE,https://www.yelp.com/biz/cafe-de-casa-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,408,coffee,Coffee & Tea,brazilian,Brazilian,4.5,37.80611,-122.419,pickup,$$,2701 Leavenworth St,,,San Francisco,94133,US,CA,2701 Leavenworth St,"San Francisco, CA 94133",1.42E+10,(415) 345-1055,5255.302,gluten_free,Gluten-Free,,,Yes,No,Yes,Average
